,Tweet_stemm
197,"['first', 'waver', 'earli', 'xma', 'gift', 'guest', 'lustforlist', 'today', 'much', 'talk']"
198,"['suppasit', 'mountain', 'music', 'festiv', 'bmmf', 'playlist', 'spotifi', 'think', 'list', 'correct', 'base', 'saw']"
199,"['twice', 'perform', 'pic', 'fact', 'music', 'award', 'twice', '트와이스']"
200,"['heard', 'charley', 'pride', 'version', 'song', 'well', 'ever', 'heard', 'hank', 'parent', 'love', 'charley']"
201,"['charley', 'pride', 'first', 'major', 'black', 'star', 'countri', 'music', 'die']"
202,"['seoul', 'music', 'award', 'rooki', 'vote', 'dont', 'forget', 'keep', 'collect', 'today', 'use']"
203,"['album', 'week', 'eye']"
204,"['ashantibut', 'keyshia', 'cole', 'music', 'bring', 'back', 'memori']"
205,[]
206,"['love', 'charley', 'pride', 'back', 'would', 'jealou', 'whenev']"
207,"['look', 'much', 'money', 'made', 'past', 'year', 'alway']"
208,"['taylor', 'swift', 'second', 'great', 'album', 'evermor', 'album', 'review']"
209,"['shine', 'boy', 'okay', 'album', 'gonna', 'song', 'brutal', 'train', 'passion', 'music', 'neve']"
210,"['babi', 'said', 'wayn', 'money', 'jayz', 'jayz', 'help', 'wayn', 'lien']"
211,"['boogi', 'favour', 'music', 'video', 'daili']"
212,"['disrespect', 'juic', 'like', 'actual', 'make', 'good', 'music']"
213,"['carpet', 'fact', 'music', 'award', 'jhope', 'jimin']"
214,"['mean', 'tell', 'nonblack', 'peopl', 'educ', 'regularli', 'util', 'black', 'slang', 'black', 'music']"
215,"['like', 'line', 'blatantli', 'creat', 'unorigin', 'music', 'inspir', 'someon']"
216,"['cut', 'music', 'taehyung']"
217,"['carpet', 'interview', 'hello', 'like', 'fact', 'music', 'award']"
218,"['seoul', 'music', 'award', 'gain', 'atleast', 'vote', 'account', 'free', 'vote', 'mission', 'vote', 'first', 'roti']"
219,"['walk', 'music', 'rocki', 'though', 'know', 'pulev', 'bulgarian', 'russian', 'though']"
220,"['votacion', 'curso', 'gaon', 'music', 'award', 'interpark', 'best', 'album']"
221,"['super', 'junior', 'receiv', 'first', 'popular', 'award', 'fact', 'music', 'award', 'superjuniorontma', 'superjuni']"
222,"['sunshin', 'nudisco']"
223,"['ask', 'play', 'christma', 'music', 'christma', 'dynamit', 'playlist', 'lmfao']"
224,"['listen', 'music', 'think', 'happi', 'thing', 'help', 'clearer']"
225,"['secret', 'santa', 'join', 'secret', 'santa', 'jritter', 'guy', 'digit', 'secret', 'santa', 'artmusicfanf']"
226,"['music', 'heaven']"
227,"['achiev', 'seventeen', 'year', 'artist', 'fact', 'music', 'award', 'congratul', 'svt']"
228,"['rockstar', 'aedilhaimushkil', 'film', 'ranbir', 'kapoor', 'tri', 'heart', 'broken', 'sing']"
229,"['take', 'back', 'throwback', 'verzuz', 'format', 'live', 'ashanti', 'keyshia', 'page', 'tonight', 'know', 'appl']"
230,"['fact', 'music', 'award', 'carpet', 'marktuan']"
231,"['even', 'artist', 'knock', 'legaci', 'rate']"
232,"['press', 'photo', 'perform', 'life', 'goe', 'fact', 'music', 'award', 'btsxtma', '방탄소년단']"
233,"['music', 'video', 'come', 'along', 'great', 'great', 'videograph']"
234,"['definit', 'alway']"
235,"['instead', 'make', 'shit', 'music', 'corps', 'make', 'subscript', 'peopl', 'bunch', 'weird']"
236,"['countri', 'music', 'legend', 'charleyprid', 'die', 'charlieprid', 'charleypriderip']"
237,"['yoongi', 'know', 'shimshim', 'even', 'make', 'musicwork', 'hurt', 'shimshim', 'bore']"
238,"['realli', 'like', 'music', 'look']"
239,"['enhypen', 'next', 'leader', 'award', 'fact', 'music', 'award', 'congratul', 'mega', 'rooki', 'group', 'enhypen']"
240,"['life', 'goe', 'dynamit', 'thank', 'love', 'could', 'well', 'futur', 'well', 'come', 'back', 'even', 'bet']"
241,"['alfombra', 'roja', 'fact', 'music', 'award']"
242,"['your', 'music', 'industri', 'compani', 'solo', 'career', 'tank', 'work']"
243,"['read', 'like', 'song']"
244,"['tune', 'tonight', 'saturdaymotiv', 'music', 'mixshow', 'saturdayvib', 'saturdaynight']"
245,"['love', 'music']"
246,"['kiss', 'angel', 'good', 'mornin', 'charley', 'pride']"
247,"['humbl', 'gentl', 'soul', 'charli', 'pride', 'whose', 'countri', 'music', 'perform', 'uniqu', 'grew']"
248,"['support', 'matter', 'music', 'messag', 'behind', 'privat', 'live']"
249,"['exactli', 'explain', 'mani', 'peopl', 'come', 'thank', 'music', 'show', 'stream']"
250,"['kpop', 'song', 'line', 'music', 'yearend', 'chart', 'away', 'japanes', 'drama', 'japanes']"
251,"['homework', 'week', 'merch', 'follow', 'fave', 'band', 'platform', 'thingi', 'spread', 'word']"
252,"['music', 'heaven', 'peopl', 'search', 'hero']"
253,"['congratul', 'super', 'junior', 'win', 'popular', 'award', 'fact', 'music', 'award']"
254,"['sing', 'christma', 'music', 'wherev']"
255,"['brigid', 'hill', 'aliv', 'sound', 'music']"
256,"['wait', 'wait', 'imagin', 'dream', 'win', 'streami', 'award', 'right', 'goe', 'stage', 'wear', 'smile', 'mask', 'done', 'speech']"
257,"['congratul', 'super', 'junior', 'win', 'star', 'vote', 'singer', 'fan', 'choic', 'artist', 'fact', 'music', 'award']"
258,"['wonder', 'artist', 'great', 'music', 'great', 'person']"
259,"['need', 'music', 'listen']"
260,"['madeinlago', 'worldwid', 'appl', 'music', 'album', 'chart', 'peak', 'madeinlago']"
261,"['popular', 'mean', 'liter', 'noth', 'term', 'music', 'qualiti', 'underground', 'nic']"
262,"['book', 'stuff', 'though', 'school', 'exam', 'season', 'paper', 'musiccopyrighttech', 'stuff']"
263,"['heart', 'cant', 'handl', 'also', 'book', 'good', 'rememb', 'eragon', 'film']"
264,"['christma', 'come', 'earli', 'chri', 'cornel', 'fan', 'thursday', 'even', 'seattl', 'rock', 'icon', 'estat', 'releas', 'previousl']"
265,"['singl', 'back', 'music']"
266,"['thank', 'interview', 'realli', 'enjoy', 'talk', 'nikki', 'choos', 'favourit', 'music']"
267,"['music', 'heaven', 'heart', 'eye']"
268,"['like', 'charli', 'pride', 'much', 'music', 'ever', 'present', 'long', 'road', 'trip', 'famili']"
269,"['look', 'back', 'year', 'bless', 'much', 'abl', 'releas', 'music', 'guy', 'discov', 'havin']"
270,"['bday', 'young', 'tokopedia', 'demo', 'onlin', 'parti', 'arcan', 'salon', 'ever']"
271,"['countri', 'pioneer', 'charley', 'pride', 'dead', 'covid', 'complic']"
272,"['boy', 'listen', 'angri', 'music', 'work', 'hurt']"
273,"['abyss', 'regist', 'korea', 'music', 'copyright', 'associ', 'total', 'song', 'regist']"
274,"['music', 'fascist']"
275,"['greatest', 'countri', 'music', 'legend', 'time', 'succumb', 'covid', 'son']"
276,"['ancient', 'greek', 'music', 'sound', 'like', 'hear', 'reconstruct', 'accur']"
277,"['seem', 'like', 'photo', 'btss', 'dynamit', 'perform', 'stage', 'fact', 'music', 'award']"
278,"['spanish', 'music']"
279,"['rememb', 'tri', 'save', 'music', 'yall', 'flop']"
280,"['charley', 'pride', 'anoth', 'covid', 'casualti', 'fuck', 'footnot', 'rememb', 'simpli']"
281,"['negro', 'leagu', 'basebal', 'museum', 'rememb', 'countri', 'music', 'star', 'charley', 'pride']"
282,"['tran', 'video', 'good', 'music', 'good', 'timothé', 'good']"
283,"['dynamit', 'million', 'view', 'view', 'music', 'video', 'korean', 'artist', 'releas', 'yea']"
284,"['charley', 'pride', 'former', 'negro', 'leagu', 'allstar', 'play', 'four', 'game', 'missoula', 'timberjack']"
285,"['drop', 'music', 'artist', 'tryna', 'here', 'mine', 'kendrick', 'kany', 'danni', 'brown']"
286,"['white', 'music', 'black', 'music', 'crown', 'easi', 'call']"
287,"['get', 'everyth', 'deserv', 'never', 'bring', 'tear', 'music', 'save']"
288,"['charli', 'pride', 'love', 'music']"
289,"['madeinlago', 'album', 'current', 'domin', 'appl', 'music', 'album', 'chart', 'countri', 'week']"
290,"['seoul', 'music', 'award', 'updat', 'insomnia', 'dreamcatch', 'end', 'place', 'let', 'keep', 'best', 'keep', 'vot']"
291,"['play', 'song', 'destruct', 'mankind', 'arriv', 'song', 'play', 'result']"
292,"['taylor', 'messag', 'amazon', 'music', 'alexa', 'play', 'evermorealbum', 'excellen']"
293,"['think', 'could', 'surviv', 'without', 'music']"
294,"['share', 'news', 'charley', 'pride', 'die', 'today', 'dalla', 'complic', 'covid', 'charley']"
295,"['congrat', 'win', 'daesang', 'fact', 'music', 'award']"
296,"['seen', 'nigga', 'told', 'music', 'trash', 'cant', 'lie']"
297,"['ador', 'gonna']"
298,"['play', 'amplifi', 'instrument', 'drum', 'live', 'without', 'hear', 'protect', 'dog', 'music']"
299,"['tomorrow', 'togeth', 'best', 'perform', 'fact', 'music', 'award']"
300,"['vote', 'wish', 'music', 'award', 'starfmbestof', 'song', 'year', 'hanggang']"
301,"['fact', 'music', 'award', 'criteria', 'judg', 'score', 'wont', 'expect', 'much']"
302,"['thank', 'sharingmi', 'music', 'teacher', 'friend', 'wzubin', 'mehta', 'class', 'use', 'lincoln', 'cent']"
303,"['fuck', 'live', 'play', 'music', 'watch']"
304,"['goddesss', 'abil', 'inde', 'complic', 'understand', 'perhap', 'kept', 'use', 'music', 'met']"
305,"['good', 'year', 'music', 'miss', 'time']"
306,"['music', 'guitar', 'guitar', 'guitar', 'flute']"
307,"['congratul', 'win', 'daesang', 'fact', 'music', 'award']"
308,"['data', 'youtub', 'music', 'sure', 'download', 'music', 'music', 'platform']"
309,"['variou', 'techno', 'tool', 'album', 'technocompil', 'techno', 'technomus', 'djtool', 'music']"
310,"['document', 'music', 'loui', 'tomlinson', 'need', 'copi']"
311,"['also', 'happi', 'birthday', 'fine', 'line', 'album', 'liter', 'save', 'life', 'mani', 'way', 'thank']"
312,"['tongan', 'ninja', 'star', 'nicola', 'cage', 'costar', 'antonio', 'bandera', 'direct', 'robert', 'altman', 'music', 'theloni', 'monk', 'budget']"
313,"['listen', 'lilypichu', 'music', 'calm']"
314,"['sadden', 'hear', 'pass', 'great', 'charley', 'pride', 'legend', 'pioneer', 'broke']"
315,"['besti', 'good', 'music', 'tast']"
316,"['music', 'video', 'tri', 'view', 'youtub', 'dream', 'would', 'thousand', 'quit', 'tweet']"
